+---------------------------------------------------------------------+
|  Log file: pa.characterize.log                                      |
|  Compiler version: 9.13.2                                           |
|  Created on: Wed Oct 23 15:06:53 2024                               |
|  Run ID: a3bd6f1aa3ef4038                                           |
+---------------------------------------------------------------------+

Program: flep_process.p4

--------------------------------------------------------------------------------------------------------------------------------------------------------
| Container |  Gress  |                          Name                          | Class |  | P | 0 | 1  | 2 | 3 | 4  | 5 | 6 | 7 | 8 | 9 | 10 | 11 | D |
|   phv209  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv210  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv211  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv212  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv213  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv214  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv215  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv216  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv217  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv218  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv219  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv220  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv221  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv222  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv223  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv224  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv225  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv226  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv227  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv228  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv229  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv230  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv231  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv232  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv233  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv234  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv235  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv236  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv237  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv238  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv239  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv240  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv241  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv242  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv243  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv244  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv245  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv246  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv247  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv248  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv249  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv250  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv251  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv252  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv253  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv254  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv255  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|           |         |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv256  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:0]  | ingress |               hdr.ethernet.srcAddr[31:0]               |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv257  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:0]  | ingress |               hdr.ethernet.dstAddr[31:0]               |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv258  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv259  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv260  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:0]  |  egress | hdr.min_parse_depth_padding_0[0].packet_payload[31:0]  |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv261  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:0]  |  egress | hdr.min_parse_depth_padding_0[0].packet_payload[63:32] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv262  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:0]  |  egress | hdr.min_parse_depth_padding_0[1].packet_payload[31:0]  |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv263  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:0]  |  egress | hdr.min_parse_depth_padding_0[1].packet_payload[63:32] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv264  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [31:0]  |  egress | hdr.min_parse_depth_padding_0[3].packet_payload[63:32] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv265  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv266  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv267  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv268  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv269  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv270  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv271  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv272  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv273  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv274  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv275  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv276  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv277  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv278  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv279  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv280  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv281  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv282  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv283  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv284  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv285  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv286  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv287  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|           |         |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv288  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [7:0]  | ingress |                  hdr.flep.flags[7:0]                   |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv289  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv290  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv291  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv292  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [7:0]  |  egress | hdr.min_parse_depth_padding_0[0].packet_payload[87:80] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv293  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [7:0]  |  egress | hdr.min_parse_depth_padding_0[1].packet_payload[87:80] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv294  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [7:0]  |  egress | hdr.min_parse_depth_padding_0[2].packet_payload[87:80] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv295  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|    [7:0]  |  egress | hdr.min_parse_depth_padding_0[3].packet_payload[87:80] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv296  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv297  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv298  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv299  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv300  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv301  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv302  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv303  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv304  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv305  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv306  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv307  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv308  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv309  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv310  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv311  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv312  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv313  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv314  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv315  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv316  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv317  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv318  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv319  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|           |         |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv320  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  | ingress |              hdr.flep.active_label[15:0]               |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv321  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  | ingress |              hdr.ethernet.srcAddr[47:32]               |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv322  | ingress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  | ingress |              hdr.ethernet.dstAddr[47:32]               |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv323  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv324  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv325  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv326  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress | hdr.min_parse_depth_padding_0[2].packet_payload[15:0]  |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv327  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress | hdr.min_parse_depth_padding_0[2].packet_payload[31:16] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv328  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress | hdr.min_parse_depth_padding_0[2].packet_payload[47:32] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv329  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress | hdr.min_parse_depth_padding_0[2].packet_payload[63:48] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv330  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress | hdr.min_parse_depth_padding_0[3].packet_payload[15:0]  |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv331  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress | hdr.min_parse_depth_padding_0[3].packet_payload[31:16] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv332  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress | hdr.min_parse_depth_padding_0[0].packet_payload[79:64] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv333  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress | hdr.min_parse_depth_padding_0[1].packet_payload[79:64] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv334  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress | hdr.min_parse_depth_padding_0[2].packet_payload[79:64] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv335  |  egress |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   [15:0]  |  egress | hdr.min_parse_depth_padding_0[3].packet_payload[79:64] |  pkt  |  | W | ~ | ~  | ~ | ~ | ~  | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   phv336  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv337  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv338  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv339  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv340  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv341  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv342  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv343  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv344  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv345  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv346  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv347  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv348  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv349  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv350  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv351  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv352  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv353  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv354  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv355  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv356  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv357  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv358  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv359  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv360  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv361  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv362  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv363  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv364  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv365  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv366  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
|   phv367  |    -    |                                                        |       |  |   |   |    |   |   |    |   |   |   |   |   |    |    |   |
--------------------------------------------------------------------------------------------------------------------------------------------------------


Containers used: 49
Containers with data overlayed: 1  (2.04%)
Containers shared: 7  (14.29%)

------------------------
  Legend:
------------------------
   P:     Parsed
   D:     Deparsed
   OL:    Overlay
   SH:    Shared
   pkt:   Packet data
   meta:  Metadata
   imeta: Intrinsic Metadata
   pov:   Packet Occupancy Vector bit
   R:     Read
   W:     Write
   ~:     Field is live


---------------------------------------------------------------------------------------------------------------------------------------
| Direction | Location | Fields Live | Bits Live | Header Fields Live | Header Bits Live | Metadata Fields Live | Metadata Bits Live |
---------------------------------------------------------------------------------------------------------------------------------------
|  ingress  |  Parser  | 23 (69.70%) |    397    |    17 (85.00%)     |       336        |      6 (46.15%)      |         61         |
|  ingress  | Stage 0  | 25 (75.76%) |    414    |    17 (85.00%)     |       336        |      8 (61.54%)      |         78         |
|  ingress  | Stage 1  | 26 (78.79%) |    425    |    18 (90.00%)     |       352        |      8 (61.54%)      |         73         |
|  ingress  | Stage 2  | 26 (78.79%) |    409    |    18 (90.00%)     |       368        |      8 (61.54%)      |         41         |
|  ingress  | Stage 3  | 26 (78.79%) |    392    |    18 (90.00%)     |       352        |      8 (61.54%)      |         40         |
|  ingress  | Stage 4  | 24 (72.73%) |    368    |    17 (85.00%)     |       336        |      7 (53.85%)      |         32         |
|  ingress  | Stage 5  | 24 (72.73%) |    368    |    17 (85.00%)     |       336        |      7 (53.85%)      |         32         |
|  ingress  | Stage 6  | 24 (72.73%) |    368    |    17 (85.00%)     |       336        |      7 (53.85%)      |         32         |
|  ingress  | Stage 7  | 24 (72.73%) |    368    |    17 (85.00%)     |       336        |      7 (53.85%)      |         32         |
|  ingress  | Stage 8  | 24 (72.73%) |    368    |    17 (85.00%)     |       336        |      7 (53.85%)      |         32         |
|  ingress  | Stage 9  | 24 (72.73%) |    368    |    17 (85.00%)     |       336        |      7 (53.85%)      |         32         |
|  ingress  | Stage 10 | 24 (72.73%) |    368    |    17 (85.00%)     |       336        |      7 (53.85%)      |         32         |
|  ingress  | Stage 11 | 24 (72.73%) |    368    |    17 (85.00%)     |       336        |      7 (53.85%)      |         32         |
|  ingress  | Deparser | 26 (78.79%) |    381    |    17 (85.00%)     |       336        |      9 (69.23%)      |         45         |
|           |          |             |           |                    |                  |                      |                    |
|   egress  |  Parser  |  6 (60.00%) |    365    |    4 (100.00%)     |       352        |      2 (33.33%)      |         13         |
|   egress  | Stage 0  |  5 (50.00%) |    361    |    4 (100.00%)     |       352        |      1 (16.67%)      |         9          |
|   egress  | Stage 1  |  5 (50.00%) |    361    |    4 (100.00%)     |       352        |      1 (16.67%)      |         9          |
|   egress  | Stage 2  |  5 (50.00%) |    361    |    4 (100.00%)     |       352        |      1 (16.67%)      |         9          |
|   egress  | Stage 3  |  5 (50.00%) |    361    |    4 (100.00%)     |       352        |      1 (16.67%)      |         9          |
|   egress  | Stage 4  |  5 (50.00%) |    361    |    4 (100.00%)     |       352        |      1 (16.67%)      |         9          |
|   egress  | Stage 5  |  5 (50.00%) |    361    |    4 (100.00%)     |       352        |      1 (16.67%)      |         9          |
|   egress  | Stage 6  |  5 (50.00%) |    361    |    4 (100.00%)     |       352        |      1 (16.67%)      |         9          |
|   egress  | Stage 7  |  5 (50.00%) |    361    |    4 (100.00%)     |       352        |      1 (16.67%)      |         9          |
|   egress  | Stage 8  |  5 (50.00%) |    361    |    4 (100.00%)     |       352        |      1 (16.67%)      |         9          |
|   egress  | Stage 9  |  5 (50.00%) |    361    |    4 (100.00%)     |       352        |      1 (16.67%)      |         9          |
|   egress  | Stage 10 |  5 (50.00%) |    361    |    4 (100.00%)     |       352        |      1 (16.67%)      |         9          |
|   egress  | Stage 11 |  5 (50.00%) |    361    |    4 (100.00%)     |       352        |      1 (16.67%)      |         9          |
|   egress  | Deparser |  9 (90.00%) |    365    |    4 (100.00%)     |       352        |      5 (83.33%)      |         13         |
---------------------------------------------------------------------------------------------------------------------------------------




------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Direction | Container |    Parser   |   Stage 0   |   Stage 1   |   Stage 2   |   Stage 3   |   Stage 4   |   Stage 5   |   Stage 6   |   Stage 7   |   Stage 8   |   Stage 9   |   Stage 10  |   Stage 11  |   Deparser  |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  ingress  |    phv0   | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |
|  ingress  |    phv1   | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) |
|  ingress  |    phv2   |      -      |      -      |      -      | 1 (32 bits) |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |
|  ingress  |    phv3   |  1 (9 bits) |  1 (9 bits) | 2 (25 bits) |  1 (9 bits) |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |
|  ingress  |    phv4   | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) |
|  ingress  |    phv5   |      -      |  1 (8 bits) |      -      |      -      | 2 (24 bits) |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |      -      |
|  ingress  |    phv6   |      -      |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |  1 (9 bits) |
|  ingress  |    phv7   | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) | 2 (32 bits) |
|  ingress  |    phv8   | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) | 1 (32 bits) |
